Wierzcholek: 	 Dystans od: 
  0 		-
  1 		8
  2 		8
  3 		13
  4 		19
  5 		19
  6 		17
  7 		19
  8 		7
  9 		11
  10 		9
  11 		13
  12 		19
  13 		17
  14 		18
  15 		15
  16 		13
  17 		10
  18 		18
  19 		13
  20 		12
  21 		17
  22 		15
  23 		13
  24 		24
  25 		19
  26 		19
  27 		20
  28 		21
  29 		2
  30 		19
  31 		21
  32 		9
  33 		11
  34 		19
  35 		21
  36 		13
  37 		8
  38 		13
  39 		20
  40 		17
  41 		19
  42 		16
  43 		11
  44 		13
  45 		23
  46 		13
  47 		23
  48 		16
  49 		20
  50 		20
  51 		14
  52 		10
  53 		11
  54 		23
  55 		16
  56 		14
  57 		19
  58 		11
  59 		28
  60 		10
  61 		18
  62 		12
  63 		5
  64 		13
  65 		24
  66 		11
  67 		12
  68 		16
  69 		9
  70 		16
  71 		17
  72 		2
  73 		21
  74 		19
  75 		9
  76 		14
  77 		8
  78 		26
  79 		11
  80 		9
  81 		23
  82 		10
  83 		14
  84 		16
  85 		20
  86 		8
  87 		19
  88 		22
  89 		13
  90 		27
  91 		12
  92 		14
  93 		4
  94 		22
  95 		3
  96 		18
  97 		20
  98 		19
  99 		4
